ORPHAcode,fenotipo_id,Muy frecuente (80 - 99 %),Frecuente (30 - 79 %),Ocasional (5 - 29 %),Muy rara (1 - 4 %),Excluida (0 %),Siempre (100 %)
577,HP:0001385,0,1,0,0,0,0
577,HP:0001634,0,1,0,0,0,0
577,HP:0002650,0,1,0,0,0,0
577,HP:0002758,0,1,0,0,0,0
577,HP:0009837,0,1,0,0,0,0
577,HP:0012185,0,1,0,0,0,0
577,HP:0012532,0,1,0,0,0,0
577,HP:0030680,0,1,0,0,0,0
577,HP:0034337,0,1,0,0,0,0
577,HP:0100543,0,1,0,0,0,0
577,HP:0000885,0,0,1,0,0,0
577,HP:0001072,0,0,1,0,0,0
577,HP:0001653,0,0,1,0,0,0
577,HP:0001659,0,0,1,0,0,0
577,HP:0002091,0,0,1,0,0,0
577,HP:0002176,0,0,1,0,0,0
577,HP:0002515,0,0,1,0,0,0
577,HP:0004349,0,0,1,0,0,0
577,HP:0012378,0,0,1,0,0,0
796,HP:0000256,1,0,0,0,0,0
796,HP:0000293,0,1,0,0,0,0
796,HP:0000365,1,0,0,0,0,0
796,HP:0000618,1,0,0,0,0,0
796,HP:0001250,1,0,0,0,0,0
796,HP:0001251,1,0,0,0,0,0
796,HP:0001324,0,1,0,0,0,0
796,HP:0001508,1,0,0,0,0,0
796,HP:0001635,0,0,1,0,0,0
796,HP:0001744,0,1,0,0,0,0
796,HP:0002205,0,1,0,0,0,0
796,HP:0002240,0,1,0,0,0,0
796,HP:0002333,1,0,0,0,0,0
796,HP:0002652,0,0,1,0,0,0
796,HP:0002808,1,0,0,0,0,0
796,HP:0004343,1,0,0,0,0,0
796,HP:0007272,1,0,0,0,0,0
796,HP:0010729,1,0,0,0,0,0
796,HP:0100022,1,0,0,0,0,0
584,HP:0000023,1,0,0,0,0,0
584,HP:0000280,1,0,0,0,0,0
584,HP:0000470,0,0,1,0,0,0
584,HP:0001004,1,0,0,0,0,0
584,HP:0001249,1,0,0,0,0,0
584,HP:0001252,0,1,0,0,0,0
584,HP:0001387,0,1,0,0,0,0
584,HP:0001537,1,0,0,0,0,0
584,HP:0001541,1,0,0,0,0,0
584,HP:0001744,0,1,0,0,0,0
584,HP:0001789,0,1,0,0,0,0
584,HP:0001840,0,1,0,0,0,0
584,HP:0002103,1,0,0,0,0,0
584,HP:0002205,1,0,0,0,0,0
584,HP:0002650,1,0,0,0,0,0
584,HP:0003272,0,1,0,0,0,0
584,HP:0004607,1,0,0,0,0,0
584,HP:0005019,1,0,0,0,0,0
584,HP:0007957,1,0,0,0,0,0
584,HP:0008155,0,1,0,0,0,0
584,HP:0008430,1,0,0,0,0,0
584,HP:0010655,0,1,0,0,0,0
584,HP:0012115,0,1,0,0,0,0
584,HP:0012368,1,0,0,0,0,0
584,HP:0100026,0,0,1,0,0,0
584,HP:0100625,0,0,1,0,0,0
461,HP:0000958,1,0,0,0,0,0
461,HP:0000962,1,0,0,0,0,0
461,HP:0000966,1,0,0,0,0,0
461,HP:0008064,1,0,0,0,0,0
461,HP:0007018,0,1,0,0,0,0
461,HP:0007759,0,1,0,0,0,0
461,HP:0000028,0,0,1,0,0,0
461,HP:0000717,0,0,1,0,0,0
461,HP:0001270,0,0,1,0,0,0
461,HP:0002167,0,0,1,0,0,0
461,HP:0007549,0,0,1,0,0,0
461,HP:0001249,0,0,0,1,0,0
881,HP:0002808,0,1,0,0,0,0
881,HP:0002857,0,1,0,0,0,0
881,HP:0002910,0,1,0,0,0,0
881,HP:0005113,0,1,0,0,0,0
881,HP:0005689,0,1,0,0,0,0
881,HP:0006438,0,1,0,0,0,0
881,HP:0006456,0,1,0,0,0,0
881,HP:0007477,0,1,0,0,0,0
881,HP:0009759,0,1,0,0,0,0
881,HP:0010044,0,1,0,0,0,0
881,HP:0010047,0,1,0,0,0,0
881,HP:0010510,0,1,0,0,0,0
881,HP:0000085,0,0,1,0,0,0
881,HP:0000086,0,0,1,0,0,0
881,HP:0000164,0,0,1,0,0,0
881,HP:0000286,0,0,1,0,0,0
881,HP:0000476,0,0,1,0,0,0
881,HP:0000486,0,0,1,0,0,0
881,HP:0000508,0,0,1,0,0,0
881,HP:0000545,0,0,1,0,0,0
881,HP:0000716,0,0,1,0,0,0
881,HP:0000767,0,0,1,0,0,0
881,HP:0000842,0,0,1,0,0,0
881,HP:0000987,0,0,1,0,0,0
881,HP:0000995,0,0,1,0,0,0
881,HP:0001004,0,0,1,0,0,0
881,HP:0001045,0,0,1,0,0,0
881,HP:0001231,0,0,1,0,0,0
881,HP:0001385,0,0,1,0,0,0
881,HP:0001395,0,0,1,0,0,0
881,HP:0001596,0,0,1,0,0,0
881,HP:0001631,0,0,1,0,0,0
881,HP:0001647,0,0,1,0,0,0
881,HP:0001657,0,0,1,0,0,0
881,HP:0001658,0,0,1,0,0,0
881,HP:0001680,0,0,1,0,0,0
881,HP:0001763,0,0,1,0,0,0
881,HP:0001812,0,0,1,0,0,0
881,HP:0001831,0,0,1,0,0,0
881,HP:0002608,0,0,1,0,0,0
881,HP:0002611,0,0,1,0,0,0
881,HP:0002650,0,0,1,0,0,0
881,HP:0002960,0,0,1,0,0,0
881,HP:0003067,0,0,1,0,0,0
881,HP:0003186,0,0,1,0,0,0
881,HP:0003764,0,0,1,0,0,0
881,HP:0004349,0,0,1,0,0,0
881,HP:0005603,0,0,1,0,0,0
881,HP:0005978,0,0,1,0,0,0
881,HP:0007018,0,0,1,0,0,0
881,HP:0008572,0,0,1,0,0,0
881,HP:0009118,0,0,1,0,0,0
881,HP:0011307,0,0,1,0,0,0
881,HP:0012434,0,0,1,0,0,0
881,HP:0100646,0,0,1,0,0,0
881,HP:0000150,0,0,0,1,0,0
881,HP:0000471,0,0,0,1,0,0
881,HP:0000133,1,0,0,0,0,0
881,HP:0000137,1,0,0,0,0,0
881,HP:0000470,1,0,0,0,0,0
881,HP:0000823,1,0,0,0,0,0
881,HP:0000837,1,0,0,0,0,0
881,HP:0000879,1,0,0,0,0,0
881,HP:0000938,1,0,0,0,0,0
881,HP:0000939,1,0,0,0,0,0
881,HP:0001510,1,0,0,0,0,0
881,HP:0001511,1,0,0,0,0,0
881,HP:0002750,1,0,0,0,0,0
881,HP:0001394,0,0,0,1,0,0
881,HP:0002037,0,0,0,1,0,0
881,HP:0002613,0,0,0,1,0,0
881,HP:0002647,0,0,0,1,0,0
881,HP:0002861,0,0,0,1,0,0
881,HP:0004383,0,0,0,1,0,0
881,HP:0004386,0,0,0,1,0,0
881,HP:0005294,0,0,0,1,0,0
881,HP:0008678,0,0,0,1,0,0
881,HP:0012758,0,0,0,1,0,0
881,HP:0002967,1,0,0,0,0,0
881,HP:0003492,1,0,0,0,0,0
881,HP:0004322,1,0,0,0,0,0
881,HP:0006610,1,0,0,0,0,0
881,HP:0006709,1,0,0,0,0,0
881,HP:0008209,1,0,0,0,0,0
881,HP:0008222,1,0,0,0,0,0
881,HP:0008897,1,0,0,0,0,0
881,HP:0012774,1,0,0,0,0,0
881,HP:0040072,1,0,0,0,0,0
881,HP:0100625,1,0,0,0,0,0
881,HP:0000218,0,1,0,0,0,0
881,HP:0000278,0,1,0,0,0,0
881,HP:0000347,0,1,0,0,0,0
881,HP:0000365,0,1,0,0,0,0
881,HP:0000369,0,1,0,0,0,0
881,HP:0000403,0,1,0,0,0,0
881,HP:0000465,0,1,0,0,0,0
881,HP:0000474,0,1,0,0,0,0
881,HP:0000475,0,1,0,0,0,0
881,HP:0000708,0,1,0,0,0,0
881,HP:0000739,0,1,0,0,0,0
881,HP:0000758,0,1,0,0,0,0
881,HP:0000786,0,1,0,0,0,0
881,HP:0000822,0,1,0,0,0,0
881,HP:0000869,0,1,0,0,0,0
881,HP:0000872,0,1,0,0,0,0
