ORPHAcode,nombre_enfermedad,tipo_enfermedad,edad_media_inicio,tipo_herencia
2345,Isolated Klippel-Feil syndrome,Malformation syndrome,"['Infancy', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive', 'Not applicable']"
2346,Angioosteohypertrophic syndrome,Clinical group,"['Adolescent', 'Childhood', 'Infancy']","['Autosomal dominant', 'Not applicable']"
2347,Lethal Kniest-like dysplasia,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2348,"Familial partial lipodystrophy, Dunnigan type",Disease,"['Adolescent', 'Adult', 'Childhood', 'Elderly']",['Autosomal dominant']
2349,Muscular pseudohypertrophy-hypothyroidism syndrome,Disease,['Childhood'],[]
2351,Kousseff syndrome,Malformation syndrome,"['Antenatal', 'Infancy', 'Neonatal']",[]
2353,Schilbach-Rott syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal dominant']
2356,Arachnoid cyst,Morphological anomaly,['Childhood'],"['Autosomal recessive', 'Not applicable']"
2357,Bronchogenic cyst,Morphological anomaly,['All ages'],['Unknown']
2363,Lacrimoauriculodentodigital syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal dominant']
2364,Glycogen storage disease due to lactate dehydrogenase deficiency,Disease,['Childhood'],[]
2368,Gastroschisis,Morphological anomaly,['Antenatal'],['Not applicable']
2369,Limb body wall complex,Malformation syndrome,"['Infancy', 'Neonatal']",['Not applicable']
2370,Larsen-like osseous dysplasia-short stature syndrome,Malformation syndrome,['Neonatal'],[]
2371,Lethal Larsen-like syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2372,Laryngocele,Malformation syndrome,['All ages'],[]
2373,Congenital laryngomalacia,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2374,Isolated congenital laryngeal web,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2375,Laryngeal abductor paralysis-intellectual disability syndrome,Malformation syndrome,['Childhood'],['X-linked recessive']
2377,Laurence-Moon syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2378,Laurin-Sandrow syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal dominant']
2379,Early-onset parkinsonism-intellectual disability syndrome,Disease,['Infancy'],['X-linked recessive']
2380,Legg-Calvé-Perthes disease,Disease,['Childhood'],"['Autosomal dominant', 'Multigenic/multifactorial']"
2382,Lennox-Gastaut syndrome,Disease,"['Childhood', 'Infancy']","['Autosomal dominant', 'Multigenic/multifactorial', 'Not applicable']"
2386,Leukoencephalopathy-palmoplantar keratoderma syndrome,Disease,['Childhood'],['Autosomal recessive']
2387,Leukonychia totalis,Disease,['Neonatal'],[]
2388,Choreoacanthocytosis,Disease,['Adult'],['Autosomal recessive']
2390,Lichtenstein syndrome,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
2391,Congenitally short costocoracoid ligament,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal dominant']
2394,Pyruvate dehydrogenase E3 deficiency,Clinical subtype,['Childhood'],['Autosomal recessive']
2396,Encephalocraniocutaneous lipomatosis,Disease,"['Antenatal', 'Neonatal']",['Not applicable']
2398,Multiple symmetric lipomatosis,Disease,"['Adolescent', 'Adult', 'Childhood', 'Elderly']","['Autosomal dominant', 'Autosomal recessive', 'Mitochondrial inheritance', 'Not applicable']"
2399,Nasopalpebral lipoma-coloboma syndrome,Malformation syndrome,['Neonatal'],['Autosomal dominant']
2400,Peripheral motor neuropathy-dysautonomia syndrome,Disease,['Childhood'],['Unknown']
2404,Loiasis,Disease,['All ages'],['Not applicable']
2405,Thickened earlobes-conductive deafness syndrome,Malformation syndrome,['All ages'],['Autosomal dominant']
2406,Locked-in syndrome,Clinical syndrome,['All ages'],['Not applicable']
2407,Laryngo-onycho-cutaneous syndrome,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
2408,Lowe-Kohn-Cohen syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2409,Lowry-MacLean syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal dominant']
2410,Hypergonadotropic hypogonadism-cataract syndrome,Malformation syndrome,['Adolescent'],['Autosomal recessive']
2412,Dislocation of the hip-dysmorphism syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2414,Congenital pulmonary lymphangiectasia,Disease,['Neonatal'],['Autosomal recessive']
2415,Rare lymphatic malformation,Category,"['Infancy', 'Neonatal']",['Not applicable']
2420,Primary pulmonary lymphoma,Disease,"['Adult', 'Elderly']",['Not applicable']
2427,Macrocephaly-short stature-paraplegia syndrome,Malformation syndrome,['Adult'],['Unknown']
2429,Macrocephaly-spastic paraplegia-dysmorphism syndrome,Malformation syndrome,['Childhood'],['Autosomal recessive']
2430,Congenital macroglossia,Malformation syndrome,['Neonatal'],[]
2432,Macrosomia-microphthalmia-cleft palate syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2435,Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome,Disease,"['Infancy', 'Neonatal']",['Unknown']
2437,Czeizel-Losonci syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal dominant']
2438,Hand-foot-genital syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal dominant']
2439,Patterson-Stevenson-Fontaine syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal dominant']
2440,Isolated split hand-split foot malformation,Malformation syndrome,"['Infancy', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive', 'X-linked recessive']"
2442,X-linked lymphoproliferative disease,Clinical group,"['Adolescent', 'Adult', 'Childhood', 'Infancy']",['X-linked recessive']
2443,Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies,Category,['All ages'],['Autosomal recessive']
2444,Congenital pulmonary airway malformation,Malformation syndrome,"['Adolescent', 'Adult', 'Antenatal', 'Neonatal']",['Not applicable']
2451,Mucocutaneous venous malformations,Malformation syndrome,['All ages'],['Autosomal dominant']
2456,Familial supernumerary nipples,Morphological anomaly,"['Infancy', 'Neonatal']",[]
2457,Mandibuloacral dysplasia,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2459,Mansonelliasis,Disease,['All ages'],['Not applicable']
2460,Van den Ende-Gupta syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2461,Marden-Walker syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2462,Shprintzen-Goldberg syndrome,Malformation syndrome,"['Infancy', 'Neonatal']","['Autosomal dominant', 'Multigenic/multifactorial', 'Not applicable']"
2463,Marfanoid habitus-autosomal recessive intellectual disability syndrome,Malformation syndrome,"['Childhood', 'Infancy']",['Autosomal recessive']
2464,"Marfanoid syndrome, De Silva type",Malformation syndrome,"['Adult', 'Childhood']",[]
2466,MASA syndrome,Clinical subtype,['Neonatal'],['X-linked recessive']
2467,Systemic mastocytosis,Clinical group,['All ages'],['Not applicable']
2470,Matthew-Wood syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive']"
2471,McDonough syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2473,McKusick-Kaufman syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2475,White forelock with malformations,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2476,Dysraphism-cleft lip/palate-limb reduction defects syndrome,Malformation syndrome,['Antenatal'],[]
2477,Megalencephaly,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2478,Megalencephalic leukoencephalopathy with subcortical cysts,Disease,"['Infancy', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive']"
2479,Megalocornea-intellectual disability syndrome,Malformation syndrome,"['Childhood', 'Infancy', 'Neonatal']",[]
2481,Neurocutaneous melanocytosis,Disease,['Childhood'],['Not applicable']
2482,Melhem-Fahl syndrome,Malformation syndrome,['Neonatal'],[]
2483,Melkersson-Rosenthal syndrome,Malformation syndrome,['Childhood'],[]
2484,Melnick-Needles syndrome,Malformation syndrome,['Childhood'],['X-linked dominant']
2485,Melorheostosis,Malformation syndrome,['All ages'],['Not applicable']
2487,Lower limb malformation-hypospadias syndrome,Malformation syndrome,['Neonatal'],[]
2489,Upper limb defect-eye and ear abnormalities syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2491,Müllerian duct anomalies-limb anomalies syndrome,Malformation syndrome,['Neonatal'],[]
2492,FATCO syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2494,Ménétrier disease,Disease,"['Adolescent', 'Adult', 'Childhood']","['Autosomal dominant', 'Not applicable', 'Unknown']"
2495,Meningioma,Disease,['All ages'],['Not applicable']
2496,Mesomelia-synostoses syndrome,Malformation syndrome,"['Antenatal', 'Infancy', 'Neonatal']",['Autosomal dominant']
2497,"Upper limb mesomelic dysplasia, type Fryns",Malformation syndrome,['Neonatal'],[]
2498,Syndactyly type 8,Morphological anomaly,[],"['Autosomal dominant', 'X-linked recessive']"
2499,Metachondromatosis,Malformation syndrome,['Childhood'],['Autosomal dominant']
2500,Acrogeria,Malformation syndrome,"['Childhood', 'Infancy']",[]
2501,"Metaphyseal chondrodysplasia, Spahr type",Disease,['Childhood'],['Autosomal recessive']
2502,Metaphyseal dysostosis-intellectual disability-conductive deafness syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2504,Metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal dominant']
2505,Multiple benign circumferential skin creases on limbs,Disease,"['Infancy', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive']"
2508,Corpus callosum agenesis-abnormal genitalia syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['X-linked recessive']
