ORPHAcode,nombre_enfermedad
852,X-linked thrombocytopenia with normal platelets
853,Fetal and neonatal alloimmune thrombocytopenia
854,Non-malignant and non-cirrhotic portal vein thrombosis
857,Townes-Brocks syndrome
858,Congenital toxoplasmosis
859,Transcobalamin deficiency
860,Congenitally uncorrected transposition of the great arteries
861,Treacher-Collins syndrome
863,Trichinellosis
864,Trichofolliculoma
867,Familial multiple trichoepithelioma
868,Triose phosphate-isomerase deficiency
869,Triple A syndrome
870,Down syndrome
871,Familial progressive cardiac conduction defect
873,Desmoid tumor
874,Primary adult heart tumor
875,Primary pediatric heart tumor
876,Yolk sac tumor
877,Neuroendocrine neoplasm
879,Tungiasis
881,Turner syndrome
882,Tyrosinemia type 1
883,Extragonadal teratoma
884,Tetrasomy 12p syndrome
886,Usher syndrome
887,VACTERL/VATER association
888,Van der Woude syndrome
889,Cutaneous small vessel vasculitis
890,Hepatic veno-occlusive disease
891,Familial exudative vitreoretinopathy
892,Von Hippel-Lindau disease
893,WAGR syndrome
894,Waardenburg syndrome type 1
895,Waardenburg syndrome type 2
896,Waardenburg syndrome type 3
897,Waardenburg-Shah syndrome
898,Wagner disease
899,Walker-Warburg syndrome
900,Granulomatosis with polyangiitis
901,Wells syndrome
902,Werner syndrome
903,Von Willebrand disease
904,Williams syndrome
905,Wilson disease
906,Wiskott-Aldrich syndrome
908,Fragile X syndrome
909,Cerebrotendinous xanthomatosis
910,Xeroderma pigmentosum
911,Combined immunodeficiency due to ZAP70 deficiency
912,Zellweger syndrome
913,Zollinger-Ellison syndrome
915,Aarskog-Scott syndrome
916,Aase-Smith syndrome
920,Ablepharon macrostomia syndrome
921,Abruzzo-Erickson syndrome
922,Familial nasal acilia
926,Acatalasemia
927,Hyperammonemia due to N-acetylglutamate synthase deficiency
929,Achalasia-microcephaly syndrome
930,Idiopathic achalasia
931,Isolated acheiropodia
932,Achondrogenesis
935,Short-limb skeletal dysplasia with severe combined immunodeficiency
939,3-hydroxyisobutyric aciduria
941,D-glyceric aciduria
943,Malonic aciduria
945,Acalvaria
949,Acrocraniofacial dysostosis
950,Acrodysostosis
952,"Acrofacial dysostosis, Weyers type"
955,Hajdu-Cheney syndrome
957,Acropectorovertebral dysplasia
958,Acro-renal-mandibular syndrome
959,Acro-renal-ocular syndrome
963,Acromegaly
968,"Acromesomelic dysplasia, Hunter-Thompson type"
969,Acromicric dysplasia
970,Hereditary sensory and autonomic neuropathy type 2
971,Acrorenal syndrome
972,Hereditary continuous muscle fiber activity
973,"Isolated absence/hypoplasia of fingers excluding thumb, unilateral"
974,Adams-Oliver syndrome
976,Adenine phosphoribosyltransferase deficiency
977,Adrenomyodystrophy
978,ADULT syndrome
980,Absence of the pulmonary artery
981,Internal carotid absence
982,Pulmonary valve agenesis
983,Testicular regression syndrome
984,Pulmonary agenesis
988,Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome
989,Hypoglossia-hypodactyly syndrome
990,Agnathia-holoprosencephaly-situs inversus syndrome
991,PAGOD syndrome
994,Fetal akinesia deformation sequence
998,Albinism-deafness syndrome
999,Ermine phenotype
1000,Ocular albinism with late-onset sensorineural deafness
1001,2q37 microdeletion syndrome
1003,Scalp defects-postaxial polydactyly syndrome
1005,Alopecia-contractures-dwarfism-intellectual disability syndrome
1006,Alopecia antibody deficiency
1008,Alopecia-epilepsy-pyorrhea-intellectual disability syndrome
1010,Autosomal dominant palmoplantar keratoderma and congenital alopecia
1014,Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome
1018,X-linked Alport syndrome-diffuse leiomyomatosis
1020,Early-onset autosomal dominant Alzheimer disease
1021,Amaurosis-hypertrichosis syndrome
1023,"Congenital generalized hypertrichosis, Ambras type"
1028,Amelo-onycho-hypohidrotic syndrome
1031,Enamel-renal syndrome
1035,Beta-mercaptolactate cysteine disulfiduria
1037,Arthrogryposis multiplex congenita
1040,Metaphyseal anadysplasia
1041,Hydrops fetalis
1046,Lethal hemolytic anemia-genital anomalies syndrome
1047,Sideroblastic anemia
1048,Isolated anencephaly/exencephaly
1051,Ramos-Arroyo syndrome
1052,Mosaic variegated aneuploidy syndrome
1053,Vein of Galen aneurysmal malformation
1054,Aneurysm of sinus of Valsalva
1055,Congenital left ventricular aneurysm
1059,Blue rubber bleb nevus
1062,Hereditary neurocutaneous malformation
1063,Tufted angioma
1064,Aniridia-renal agenesis-psychomotor retardation syndrome
1065,Aniridia-cerebellar ataxia-intellectual disability syndrome
1067,Aniridia-ptosis-intellectual disability-familial obesity syndrome
1068,Aniridia-intellectual disability syndrome
1069,Aniridia-absent patella syndrome
1070,Anisakiasis
1071,Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome
1072,Ankyloblepharon filiforme adnatum-cleft palate syndrome
1074,Ankyloblepharon filiforme adnatum-imperforate anus syndrome
1077,Dental ankylosis
1078,Thumb stiffness-brachydactyly-intellectual disability syndrome
1081,Coronary artery congenital malformation
1083,Microlissencephaly
1084,Isolated lissencephaly type 1 without known genetic defects
1094,Anonychia-microcephaly syndrome
